Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption
CLINTON,MANHATTAN,CLINTON,,Not Applicable,,123,245,M012300,FEDERAL,NY005001230P,"S.J. Fuel Co., Inc.",2896560,9/1/12,8/22/12,9/21/12,30,495416039703004-OIL,N         ,$592.83 ,172
CONEY ISLAND,BROOKLYN,CONEY ISLAND,,Not Applicable,,94,671,K009400,FEDERAL,NY005011700P,"S.J. Fuel Co., Inc.",2897524,2/1/12,1/25/12,2/23/12,29,2308910400-OIL,N         ,"$5,553.57 ",1642
CONEY ISLAND,BROOKLYN,CONEY ISLAND,,Not Applicable,,94,671,K009400,FEDERAL,NY005011700P,"S.J. Fuel Co., Inc.",2897525,11/1/12,10/24/12,11/26/12,33,2308910400-OIL,N         ,"$63,687.51 ",18838
CONEY ISLAND,BROOKLYN,CONEY ISLAND,,Not Applicable,,94,671,K009400,FEDERAL,NY005011700P,"S.J. Fuel Co., Inc.",2897526,12/1/12,11/26/12,12/26/12,30,2308910400-OIL,N         ,"$205,140.50 ",62330
CONEY ISLAND I (SITE 1B),BROOKLYN,CONEY ISLAND I (SITE 1B),,Not Applicable,,239,335,K023900,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897538,11/1/12,10/24/12,11/26/12,33,2308910100-OIL,N         ,"$15,886.38 ",4699
CONEY ISLAND I (SITE 1B),BROOKLYN,CONEY ISLAND I (SITE 1B),,Not Applicable,,239,335,K023900,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897539,12/1/12,11/26/12,12/26/12,30,2308910100-OIL,N         ,"$48,907.23 ",14860
CONEY ISLAND I (SITE 4 & 5),BROOKLYN,CONEY ISLAND I (SITE 4 & 5),,Not Applicable,,216,0,K021600,,,"S.J. Fuel Co., Inc.",2897515,5/1/12,4/25/12,5/25/12,30,2308910620-OIL,N         ,"$1,305.13 ",411
CONEY ISLAND I (SITE 4 & 5),BROOKLYN,CONEY ISLAND I (SITE 4 & 5),,Not Applicable,,216,0,K021600,,,"S.J. Fuel Co., Inc.",2897516,6/1/12,5/25/12,6/30/12,36,2308910620-OIL,N         ,"$1,163.58 ",411
CONEY ISLAND I (SITE 4 & 5),BROOKLYN,CONEY ISLAND I (SITE 4 & 5),,Not Applicable,,216,0,K021600,,,"S.J. Fuel Co., Inc.",2897517,7/1/12,6/30/12,7/26/12,26,2308910620-OIL,N         ,$24.86 ,8
CONEY ISLAND I (SITE 4 & 5),BROOKLYN,CONEY ISLAND I (SITE 4 & 5),,Not Applicable,,216,0,K021600,,,"S.J. Fuel Co., Inc.",2897518,11/1/12,10/24/12,11/26/12,33,2308910620-OIL,N         ,"$28,604.95 ",8461
CONEY ISLAND I (SITE 4 & 5),BROOKLYN,CONEY ISLAND I (SITE 4 & 5),,Not Applicable,,216,0,K021600,,,"S.J. Fuel Co., Inc.",2897519,12/1/12,11/26/12,12/26/12,30,2308910620-OIL,N         ,"$128,481.87 ",39038
CONEY ISLAND I (SITE 8),BROOKLYN,CONEY ISLAND I (SITE 8),,Not Applicable,,238,334,K023800,FEDERAL,NY005011720P,"S.J. Fuel Co., Inc.",2897504,1/1/12,12/23/11,1/25/12,33,2308911000-OIL,N         ,$19.42 ,6
CONEY ISLAND I (SITE 8),BROOKLYN,CONEY ISLAND I (SITE 8),,Not Applicable,,238,334,K023800,FEDERAL,NY005011720P,"S.J. Fuel Co., Inc.",2897505,11/1/12,10/24/12,11/26/12,33,2308911000-OIL,N         ,"$25,443.90 ",7526
CONEY ISLAND I (SITE 8),BROOKLYN,CONEY ISLAND I (SITE 8),,Not Applicable,,238,334,K023800,FEDERAL,NY005011720P,"S.J. Fuel Co., Inc.",2897506,12/1/12,11/26/12,12/26/12,30,2308911000-OIL,N         ,"$62,493.31 ",18988
COOPER PARK,BROOKLYN,COOPER PARK,,Not Applicable,,69,223,K006900,FEDERAL,NY005000690P,"S.J. Fuel Co., Inc.",2898251,11/1/12,10/24/12,11/26/12,33,0061500321-OIL,N         ,"$1,088.62 ",322
CORSI HOUSES,MANHATTAN,CORSI HOUSES,,Not Applicable,,199,359,M019900,FEDERAL,NY005010640P,"S.J. Fuel Co., Inc.",2896725,1/1/12,12/23/11,1/25/12,33,495416020415006-OIL,N         ,$3.22 ,1
CYPRESS HILLS,BROOKLYN,CYPRESS HILLS,,Not Applicable,,70,536,K007000,FEDERAL,NY005010700P,"S.J. Fuel Co., Inc.",2897677,1/1/12,12/23/11,1/25/12,33,0558905000-OIL,N         ,"$1,456.38 ",450
CYPRESS HILLS,BROOKLYN,CYPRESS HILLS,,Not Applicable,,70,536,K007000,FEDERAL,NY005010700P,"S.J. Fuel Co., Inc.",2897678,2/1/12,1/25/12,2/23/12,29,0558905000-OIL,N         ,"$1,708.01 ",505
CYPRESS HILLS,BROOKLYN,CYPRESS HILLS,,Not Applicable,,70,536,K007000,FEDERAL,NY005010700P,"S.J. Fuel Co., Inc.",2897679,3/1/12,2/23/12,3/26/12,32,0558905000-OIL,N         ,$388.67 ,112
CYPRESS HILLS,BROOKLYN,CYPRESS HILLS,,Not Applicable,,70,536,K007000,FEDERAL,NY005010700P,"S.J. Fuel Co., Inc.",2897680,4/1/12,3/26/12,4/25/12,30,0558905000-OIL,N         ,$379.49 ,112
DOUGLASS ADDITION,MANHATTAN,DOUGLASS ADDITION,,Not Applicable,,148,569,M014800,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896784,1/1/12,12/23/11,1/25/12,33,495416018400002-OIL,N         ,$238.20 ,74
DOUGLASS ADDITION,MANHATTAN,DOUGLASS ADDITION,,Not Applicable,,148,569,M014800,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896785,7/1/12,6/22/12,7/24/12,32,495416018400002-OIL,N         ,$173.02 ,56
