site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840360610117,0,10,20060325T2300-0500,88501,60,0,10.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061227T2300-0500,88501,60,0,7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060714T2300-0500,88501,60,0,10.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060726T2300-0500,88501,60,0,17.4,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060824T2300-0500,88501,60,0,16.1,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061027T2300-0500,88501,60,0,5,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060816T2300-0500,88501,60,0,18.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060207T2300-0500,88501,60,0,10.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070402T2300-0500,88501,60,0,10.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070622T2300-0500,88501,60,0,4.8,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060929T2300-0500,88501,60,0,14.2,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070428T2300-0500,88501,60,0,15.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060215T2300-0500,88501,60,0,27.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070106T2300-0500,88501,60,0,11.2,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070501T2300-0500,88501,60,0,9.1,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070401T2300-0500,88501,60,0,4.6,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060930T2300-0500,88501,60,0,11.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070408T2300-0500,88501,60,0,11.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060123T2300-0500,88501,60,0,14.3,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060519T2300-0500,88501,60,0,13.6,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070112T2300-0500,88501,60,0,21.8,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070129T2300-0500,88501,60,0,7.8,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060716T2300-0500,88501,60,0,18.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070327T2300-0500,88501,60,0,7.7,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070507T2300-0500,88501,60,0,5.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060502T2300-0500,88501,60,0,7.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061030T2300-0500,88501,60,0,19.6,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060415T2300-0500,88501,60,0,8.3,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
